8479.346072
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.37   1960.84  1960.84   210001     9.34     9.34  neighbour_list_mpcd()
 22.39   3359.90  1399.07   210000     6.66     6.66  fluid_colloid_collision()
 21.44   4699.63  1339.73    21000    63.80    63.80  rotation_mpcd()
 20.31   5969.25  1269.62   210000     6.05     6.05  update_pos_mpcd()
  2.84   6146.52   177.27    21000     8.44     8.44  run()
  1.57   6244.37    97.85    11000     8.90     8.90  updown_velocity()
  0.08   6249.54     5.17                             main
  0.01   6250.13     0.60   210001     0.00     0.00  compute_force_md()
  0.01   6250.49     0.36   210001     0.00     0.00  neighbour_list_md()
  0.01   6250.81     0.32        1   320.07   320.07  initialize_fluid()
  0.00   6250.98     0.17        1   170.04   170.04  create_box()
  0.00   6251.11     0.13   210000     0.00     0.00  update_pos_md()
  0.00   6251.18     0.07   210000     0.00     0.00  update_activity_direction()
  0.00   6251.21     0.03   210000     0.00     0.00  update_velocity_colloid()
  0.00   6251.22     0.02                             power(double, int)
  0.00   6251.22     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   6251.22     0.00        1     0.00     0.00  _GLOBAL__sub_I_pos_colloid
  0.00   6251.22     0.00        1     0.00     0.00  initialize()
  0.00   6251.22     0.00        1     0.00     0.00  initialize_colloid()
  0.00   6251.22     0.00        1     0.00     0.00  tumble()
