
1917.405993
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.72    486.90   486.90    21000    23.19    23.19  rotation_mpcd()
 29.56    971.16   484.25   210001     2.31     2.31  neighbour_list_mpcd()
 23.06   1348.86   377.71   210000     1.80     1.80  update_pos_mpcd()
 16.70   1622.44   273.57   210000     1.30     1.30  fluid_colloid_collision()
  0.64   1632.90    10.46    21000     0.50     0.50  run()
  0.20   1636.23     3.33    11000     0.30     0.30  updown_velocity()
  0.11   1637.95     1.72                             main
  0.01   1638.12     0.17        1   170.04   170.04  create_box()
  0.01   1638.27     0.15   210001     0.00     0.00  neighbour_list_md()
  0.01   1638.41     0.14   210001     0.00     0.00  compute_force_md()
  0.00   1638.49     0.08   210000     0.00     0.00  update_activity_direction()
  0.00   1638.55     0.06   210000     0.00     0.00  update_velocity_colloid()
  0.00   1638.60     0.05        1    50.01    50.01  initialize_fluid()
  0.00   1638.62     0.03                             power(double, int)
  0.00   1638.64     0.02   210000     0.00     0.00  update_pos_md()
  0.00   1638.65     0.01        1    10.00    10.00  _GLOBAL__sub_I_pos_colloid
  0.00   1638.65     0.00        1     0.00     0.00  _GLOBAL__sub_I_mag_f
  0.00   1638.65     0.00        1     0.00     0.00  initialize()
  0.00   1638.65     0.00        1     0.00     0.00  initialize_colloid()
  0.00   1638.65     0.00        1     0.00     0.00  tumble()
