   3598.2441120000003     

Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 31.42    838.94   838.94   210001     0.00     0.00  neighbour_list_mpcd_
 29.52   1627.37   788.44    21000     0.00     0.00  rotation_mpcd_
 22.56   2229.85   602.48   210000     0.00     0.00  fluid_colloid_collision_
 12.28   2557.66   327.81   210000     0.00     0.00  update_pos_mpcd_
  1.76   2604.69    47.04        1     0.05     2.67  MAIN__
  1.48   2644.26    39.56    21000     0.00     0.00  run_
  0.66   2661.95    17.69    11000     0.00     0.00  updown_velocity_
  0.32   2670.40     8.45 1143391449     0.00     0.00  ran1_
  0.01   2670.69     0.29   210000     0.00     0.00  update_velocity_colloid_
  0.01   2670.97     0.29   210001     0.00     0.00  neighbour_list_md_
  0.01   2671.26     0.29   210001     0.00     0.00  compute_force_md_
  0.01   2671.48     0.22  2382166     0.00     0.00  stochastic_reflection_
  0.00   2671.58     0.10  2382166     0.00     0.00  gauss_
  0.00   2671.64     0.07        1     0.00     0.00  create_box_
  0.00   2671.70     0.06   210000     0.00     0.00  update_activity_direction_
  0.00   2671.76     0.06        1     0.00     0.00  initialize_fluid_
  0.00   2671.78     0.02   210000     0.00     0.00  update_pos_md_
  0.00   2671.80     0.02        1     0.00     0.00  tumble_
  0.00   2671.82     0.02                             main
  0.00   2671.82     0.00        1     0.00     0.00  initialize_colloid_

