   1763.0560340000002     
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 33.79    365.87   365.87   210001     0.00     0.00  neighbour_list_mpcd_
 29.52    685.51   319.64    21000     0.00     0.00  rotation_mpcd_
 17.57    875.79   190.28   210000     0.00     0.00  fluid_colloid_collision_
 14.97   1037.90   162.11   210000     0.00     0.00  update_pos_mpcd_
  1.67   1056.01    18.11        1     0.02     1.08  MAIN__
  1.40   1071.13    15.13    21000     0.00     0.00  run_
  0.77   1079.43     8.29 1082282486     0.00     0.00  ran1_
  0.29   1082.58     3.15    11000     0.00     0.00  updown_velocity_
  0.02   1082.85     0.27   210000     0.00     0.00  update_velocity_colloid_
  0.02   1083.03     0.18   210001     0.00     0.00  neighbour_list_md_
  0.01   1083.14     0.11   210001     0.00     0.00  compute_force_md_
  0.01   1083.22     0.08   210000     0.00     0.00  update_activity_direction_
  0.01   1083.30     0.08        1     0.00     0.00  create_box_
  0.01   1083.36     0.06  1224107     0.00     0.00  stochastic_reflection_
  0.00   1083.38     0.02        1     0.00     0.00  initialize_fluid_
  0.00   1083.39     0.01  1224107     0.00     0.00  gauss_
  0.00   1083.40     0.01   210000     0.00     0.00  update_pos_md_
  0.00   1083.41     0.01        1     0.00     0.00  tumble_
  0.00   1083.42     0.01                             main
  0.00   1083.42     0.00        1     0.00     0.00  initialize_colloid_
