Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 33.81    435.80   435.80   210001     0.00     0.00  neighbour_list_mpcd_
 30.05    823.15   387.35    21000     0.00     0.00  rotation_mpcd_
 18.99   1068.01   244.86   210000     0.00     0.00  fluid_colloid_collision_
 13.11   1237.02   169.02   210000     0.00     0.00  update_pos_mpcd_
  1.56   1257.07    20.05        1     0.02     1.29  MAIN__
  1.38   1274.92    17.85    21000     0.00     0.00  run_
  0.63   1283.11     8.18 1081674138     0.00     0.00  ran1_
  0.44   1288.75     5.65    11000     0.00     0.00  updown_velocity_
  0.02   1289.01     0.26   210001     0.00     0.00  neighbour_list_md_
  0.02   1289.23     0.22   210000     0.00     0.00  update_velocity_colloid_
  0.02   1289.42     0.20   210001     0.00     0.00  compute_force_md_
  0.01   1289.56     0.14  1420173     0.00     0.00  stochastic_reflection_
  0.01   1289.63     0.07  1420173     0.00     0.00  gauss_
  0.00   1289.68     0.06        1     0.00     0.00  create_box_
  0.00   1289.72     0.04   210000     0.00     0.00  update_activity_direction_
  0.00   1289.75     0.03   210000     0.00     0.00  update_pos_md_
  0.00   1289.77     0.02        1     0.00     0.00  initialize_fluid_
  0.00   1289.78     0.01                             main
  0.00   1289.78     0.00        1     0.00     0.00  initialize_colloid_
  0.00   1289.78     0.00        1     0.00     0.00  tumble_

   2044.4976419999998     
